2,13113
9,13167
10,1683
12,15039
34,9477
40,6759
48,12456
55,7668
59,7029
61,8586
69,10692
75,9234
79,9099
84,15228
85,5121
97,11583
100,6831
114,10665
121,2169
122,19593
128,11484
132,15192
134,17118
145,19071
154,7605
162,1134
169,8073
185,16470
190,17037
197,18315
201,9198
208,11502
210,6399
213,17811
214,11799
220,7947
224,15021
228,12573
243,12510
246,19926
259,7695
271,12636
292,5463
309,15588
335,11925
336,7173
345,9135
371,6291
375,7965
392,4428
396,19773
399,3006
406,4572
408,8091
416,19674
437,8136
445,19134
447,18297
462,13563
476,9765
477,11259
492,17289
511,12429
529,15750
530,8271
545,16362
569,2277
570,10188
582,612
583,9378
587,7137
599,5031
600,1035
607,4167
619,14832
624,5724
635,1827
640,14220
668,17568
676,9972
680,6525
694,3078
698,2835
708,17361
718,13635
721,72
733,16902
745,11241
754,8181
764,4536
772,5877
773,621
784,16578
788,5823
789,2259
796,2385
820,9351
850,17280
857,6714
859,9486
861,13824
863,7002
873,15030
876,5301
886,11196
890,10935
904,16020
905,1746
909,6732
932,8658
936,261
955,603
960,3537
961,18864
968,9720
983,14400
1010,8802
1018,639
1028,18279
1037,369
1045,14787
1050,9216
1079,4518
1080,19692
1112,7569
1119,14076
1120,14283
1129,4437
1146,1944
1149,12996
1161,16524
1173,15399
1174,17937
1178,15219
1204,594
1207,792
1223,18414
1225,2295
1227,18243
1247,12357
1250,9504
1256,5535
1257,5985
1275,13527
1279,1638
1285,3636
1286,1341
1293,9531
1299,6687
1318,14526
1351,2061
1354,3600
1355,15336
1358,16641
1363,3429
1374,18063
1387,9387
1392,2106
1394,17163
1411,11826
1416,10485
1469,16605
1487,9036
1494,14868
1499,7488
1500,3807
1506,1179
1516,19827
1517,4698
1526,16155
1527,5868
1529,5652
1547,16317
1552,3276
1561,13815
1573,2889
1590,13680
1593,16632
1601,1251
1604,9684
1616,12717
1630,117
1643,10989
1667,648
1670,14445
1672,8730
1680,2736
1681,10764
1684,16353
1712,5418
1718,19557
1722,15408
1726,1971
1729,2421
1732,135
1745,18378
1752,14814
1768,4284
1777,3123
1778,8631
1794,6966
1797,17190
1821,3609
1837,5895
1841,1476
1842,10431
1849,11700
1880,18585
1889,10782
1891,10071
1901,16065
1906,522
1913,7974
1931,4599
1933,8118
1937,2826
1938,2880
1939,4374
1941,12600
1943,7587
1969,6750
1970,15552
1988,17316
1990,9009
2001,4275
2010,12033
2018,8766
2019,9774
2026,7776
2033,7263
2035,12339
2036,10278
2048,13401
2065,9729
2069,8199
2074,9891
2076,1674
2079,12762
2085,19413
2096,8811
2112,18972
2115,15012
2122,7956
2126,12564
2129,13608
2138,8919
2149,12825
2160,11943
2178,16992
2183,2475
2189,10656
2191,17523
2195,702
2210,5364
2227,11025
2237,12501
2245,19917
2247,270
2250,6876
2251,15705
2256,720
2263,10197
2269,19395
2272,10701
2279,11637
2301,8478
2308,3465
2311,12321
2314,2709
2322,19350
2326,17685
2348,11214
2351,9144
2363,12132
2367,10323
2385,1935
2387,12672
2389,17874
2406,6921
2410,1728
2424,3168
2432,14337
2476,11898
2514,4788
2521,1323
2540,16749
2579,2529
2592,8415
2594,3933
2601,9963
